25-1	0.5	1.0	0.5	1.0	1.0	1.5	1.0	1.0	1.0	1.0	6.27486191637	9.041219	2.51560861602	0.0656463447393	13.713370506199999	95.8896136698	4.79886297542	42.694645	99.453408	939.282187
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
26-1	1.0	0.5	1.0	1.0	1.0	1.0	1.5	1.0	0.5	1.0	8.1792186376	7.787944	3.6780712461	0.0362372575112	27.6333076529	59.7746849641	7.3704469865	29.381789	30.089784	650.2933400000002
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
27-1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	11.870569514000001	12.278733	3.45382719251	0.0292101777869	31.4152366549	211.596767214	7.6161926146	25.324888	21.487783	1030.646184
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
28-1	1.0	1.5	1.0	1.0	1.0	1.0	1.0	1.0	1.5	1.0	12.2950248248	82.857556	11.9944340137	0.0418364540479	3.13212381243	9.44945245211	12.5966373056	24.633327	262.009027	590.080159
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
29-1	1.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	13.792540507	18.251603	8.986274035489998	0.0919862939689	94.4555275306	79.7944507419	7.95639584355	11.129026	65.883836	299.148229
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
30-1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	11.243730676199998	27.841927	5.0107233441500005	0.022782447165900003	25.774602329	32.8650087408	10.9160316903	27.465685	89.54565699999998	642.998019
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
31-1	1.0	1.5	1.0	1.0	1.0	1.0	1.0	1.0	1.5	1.0	12.319179661400002	172.769805	10.2302238236	0.124736559628	0.770123958231	22.169574142600002	12.2645462576	84.890354	400.538994	709.013801
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
32-1	1.0	0.5	1.0	0.5	0.5	1.5	1.0	1.0	0.5	1.0	10.7740439826	14.962305	10.7443772671	0.0551984698217	59.6394174627	233.384577528	9.53752088166	29.592114	51.869324	1062.988644
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
33-1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.1514397572	19.326568	9.482583525199999	0.030368239778200006	46.6621343197	56.7124464686	9.7196588137	74.006614	66.464539	974.34186
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
34-1	0.5	1.5	0.5	0.5	0.5	0.5	1.0	1.0	1.5	0.5	8.52552527104	56.401318	10.034353773	0.0612252452552	0.0916562634195	5.45314916797	32.2531833102	45.692207	196.690671	469.059058
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
35-1	1.0	1.0	1.0	1.0	1.0	1.5	1.0	1.5	1.0	1.0	11.3112988494	99.397019	3.8015271966	0.05647172998150001	26.951354716599997	425.575916974	8.399627340319999	58.660536	139.318772	1011.079509
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
36-1	0.5	1.0	0.5	1.0	1.0	1.5	1.0	1.0	1.0	1.0	5.831520257819999	26.492957	3.29820950042	0.0301207417923	9.31886378584	55.30186352810001	3.84304200656	46.263821	46.263821	1264.149019
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
37-1	1.0	1.0	1.0	1.5	1.0	1.5	1.0	1.0	1.0	1.0	14.6996616037	19.884598	11.2562303075	0.0472509263739	91.1833775531	66.5765379043	10.7418783609	26.002936	47.92698	1216.529505
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
38-1	0.5	0.5	0.5	1.5	1.0	1.5	1.0	1.0	0.5	1.0	5.472310426340001	5.321766	2.3500694905	0.0190559063944	13.112697304800001	93.87240799790001	10.6128303911	43.541722	17.416689	1285.448405
