LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
BICR22	2	3	3	2	3	3	11.826763	12.30785	9.365929	5.36911745859982	8.468502	6.96104446737123	11.826763	12.30785	9.365929	5.36911745859982	8.468502	6.96104446737123
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
BICR31	2	2	2	3	2	3	9.778061	9.931254	7.9718885	6.58451158806211	6.5259123	7.79467578798686	9.778061	9.931254	7.9718885	6.58451158806211	6.5259123	7.79467578798686
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
BICR56	2	2	2	2	2	3	11.696268	11.347506	8.990671	5.95326523901484	7.6889496	7.1936731952877	11.696268	11.347506	8.990671	5.95326523901484	7.6889496	7.1936731952877
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
BICR6	3	2	2	3	2	5	12.280675	10.869648	8.333334	4.66562016406638	7.3819757	6.25417828621676	12.280675	10.869648	8.333334	4.66562016406638	7.3819757	6.25417828621676
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
BL41	2	2	2	2	2	2	8.74005	15.207838	11.442057	3.53605290024021	11.962372	6.86678436977734	8.74005	15.207838	11.442057	3.53605290024021	11.962372	6.86678436977734
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
BL70	2	2	2	2	2	2	7.572056	13.890308	10.62153	2.46205231879643	10.735717	7.57795746757297	7.572056	13.890308	10.62153	2.46205231879643	10.735717	7.57795746757297
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
BT20	2	2	2	2	2	2	12.496986	11.500692	8.202124	6.26547440323211	8.942984	5.63081315229913	12.496986	11.500692	8.202124	6.26547440323211	8.942984	5.63081315229913
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
BT474	4	2	2	2	2	4	12.198037	13.249873	10.104035	4.81762325751143	9.148222	5.75488750216347	12.198037	13.249873	10.104035	4.81762325751143	9.148222	5.75488750216347
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
BT483	2	2	2	2	2	4	13.435595	13.360572	9.727053	6.12018602753186	9.893529	5.0746766862945	13.435595	13.360572	9.727053	6.12018602753186	9.893529	5.0746766862945
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
BT549	1	2	2	1	2	2	11.391786	12.374754	9.302525	6.77505054148318	9.0648775	6.18942924580976	11.391786	12.374754	9.302525	6.77505054148318	9.0648775	6.18942924580976
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
BV173	2	2	2	2	2	6	10.475774	16.102648	12.752308	4.61823865559545	12.4781	9.25422553734395	10.475774	16.102648	12.752308	4.61823865559545	12.4781	9.25422553734395
LINE	CNV_MIR21	CNV_MIR20A	CNV_MIR17	CNV_STAT3	CNV_MIR19A	CNV_MYC	MIR21	MIR20A	MIR17	STAT3	MIR19A	MYC	T0_MIR21	T0_MIR20A	T0_MIR17	T0_STAT3	T0_MIR19A	T0_MYC
BXPC3	2	3	3	2	3	3	10.179038	12.492384	9.842492	5.56620629346551	8.837564	6.13319359866411	10.179038	12.492384	9.842492	5.56620629346551	8.837564	6.13319359866411
