Line,ks_PLAUR,ka_JUND,ka_FOXP2,ka_TFAP2C,ka_FOSL1,ks_TFAP2C,kd_PLAUR,kr_MIR335,kr_MIR16-2,ks_FOXP2,kd_JUND,kd_MIR335,kd_TFAP2C,kd_MIR16-2,kd_FOSL1,kd_FOXP2,ks_MIR335,ks_JUND,ks_FOSL1,ks_MIR16-2
CAL51,0.393899,0.565907,0.566758,0.272327,0.716756,0.743307,0.591311,0.254355,0.0578162,0.624158,0.131992,0.768017,0.115719,0.766291,1.1565,0.404358,0.434866,0.316772,0.741226,0.430121
CAL54,0.543038,0.81149,0.528476,0.61143,0.600976,0.630599,0.606465,0.375221,0.335884,0.455901,0.102354,0.654391,0.102183,0.592712,1.2127,0.401394,0.495519,0.485894,0.811233,0.401109
CAL62,0.386699,0.747572,0.550728,0.651723,0.803187,0.726511,0.674506,0.459279,0.500701,0.616474,0.0766476,0.517902,0.143726,0.529789,1.27094,0.326712,0.452653,0.407807,0.769919,0.379512
CAL78,0.559879,0.591502,0.543114,0.594251,0.731151,0.736061,0.645594,0.420669,0.238673,0.461759,0.0542272,0.703975,0.120202,0.540473,1.28472,0.402627,0.465496,0.380193,0.788739,0.437186
CAL851,0.530755,1.01149,0.571232,0.745827,1.22818,0.715542,0.678371,0.452891,0.00361323,0.566307,0.561381,0.5034,0.192057,0.490408,1.12563,0.356437,0.449526,0.352254,0.447595,0.36892
CALU1,0.400225,0.578463,0.541528,0.63242,0.768249,0.672441,0.632353,0.48489,0.359994,0.602153,0.0254255,0.612067,0.148606,0.5095,1.29146,0.361899,0.462414,0.406662,0.781435,0.435159
CALU3,0.388741,0.735008,0.518444,0.551161,0.621576,0.609245,0.56537,0.460273,0.100797,0.614399,0.257557,0.766413,0.107012,0.542085,1.33959,0.352844,0.487835,0.479241,0.680448,0.270495
CALU6,0.384627,0.573535,0.554317,0.575779,0.852701,0.765047,0.67558,0.434145,0.0275737,0.62256,0.503901,0.783462,0.181348,0.55817,1.04545,0.378452,0.449554,0.372279,0.495984,0.423734
CAMA1,0.498373,0.573004,0.502635,1e-06,0.507013,0.506041,0.506562,0.106842,0.572219,0.501624,0.758735,0.433245,0.0932061,0.759129,1.04642,0.432736,0.497365,0.492182,0.295347,0.419883
CAOV3,0.370306,0.572887,0.58503,0.566959,1.03125,0.974111,0.781781,0.34765,0.0382959,0.644814,0.591337,0.784666,0.140683,0.657726,1.22014,0.34505,0.423541,0.303498,0.417629,0.423479
CAOV4,0.391401,0.576879,0.549037,0.44536,0.733106,0.697093,0.675682,0.211964,0.080429,0.618866,0.496332,0.797773,0.122653,0.815963,1.12071,0.3997,0.453838,0.377997,0.500582,0.420353
CAPAN1,0.388961,0.826195,0.550459,0.563729,0.744803,0.6455,0.68993,0.400913,0.182483,0.622638,0.298693,0.721431,0.142573,0.590855,1.22769,0.306657,0.45183,0.419168,0.65956,0.304479
CAPAN2,0.375812,0.331448,0.512265,0.571681,1.00993e-06,1.03208e-06,0.625733,0.461892,0.0609088,0.600577,0.184369,1.4491,0.147435,0.588614,0.978758,0.29181,0.398197,0.334134,1.34083,0.161539
CAS1,0.501464,0.612229,0.586359,0.742302,0.81366,0.830518,0.847351,0.408189,0.00382539,0.522042,0.258452,0.799439,0.111748,0.593744,0.958258,0.398536,0.447579,0.346428,0.724369,0.447155
CCFSTTG1,0.477167,0.581957,0.541953,0.574226,0.689489,0.71202,0.650387,0.457995,0.00376757,0.513274,0.695812,0.787355,0.122298,0.522879,1.15602,0.399301,0.467608,0.404812,0.260472,0.425283
CCK81,0.377906,0.647134,0.53952,0.397029,0.684524,0.688582,0.627561,0.363929,0.152375,0.637419,0.249954,0.740718,0.132128,0.617717,1.1904,0.35341,0.462604,0.427975,0.691947,0.329262
CFPAC1,0.344822,0.29942,0.502481,0.704982,1.25633e-05,1.98759e-05,0.829913,0.320209,0.400766,0.572263,0.223175,1.23168,0.120409,0.393181,0.879624,0.289785,0.393519,0.322966,0.20131,0.227248
CHAGOK1,0.464551,0.675984,0.535648,0.175893,0.63717,0.620614,0.614287,0.206649,0.319598,0.536632,0.619081,0.645466,0.10361,0.748708,1.15393,0.400949,0.472104,0.439216,0.393735,0.332977
CHP126,0.478699,0.567598,0.65491,0.428251,0.981609,1.20534,0.915904,0.0832753,1e-06,0.520019,0.0114641,215.996,0.105325,0.813021,1.15381,0.364712,0.378683,0.1246,0.802548,0.424492
CHP212,0.391878,0.556481,0.508374,0.501469,0.532218,0.536316,0.533868,0.443425,1e-06,0.635815,0.735171,254.505,0.124649,0.553663,1.17784,0.393155,0.492485,0.479619,0.320562,0.438796
CI1,0.380976,0.59204,0.398482,1e-06,0.275631,0.252915,0.264626,0.257753,0.00567396,0.61343,0.0564669,0.790504,0.107413,0.760255,1.01364,0.47085,0.580558,0.677331,0.750094,0.451176
CJM,0.376328,0.67851,0.526212,0.526446,0.660761,0.607213,0.576779,0.45659,0.00568697,0.630339,0.63481,0.792316,0.143655,0.537641,1.18847,0.354982,0.474191,0.454252,0.37929,0.338358
CL11,0.513323,0.592528,0.555307,0.635182,0.683948,0.794601,0.701178,0.450574,0.125289,0.492861,0.590164,0.749084,0.109262,0.518262,1.22131,0.390938,0.456219,0.348633,0.397302,0.435323
CL14,0.388404,0.569234,0.553335,0.403689,0.843275,0.740119,0.65024,0.338292,0.0113627,0.621796,0.575355,0.795455,0.122056,0.627479,1.184,0.367575,0.450463,0.376182,0.431907,0.427294
CL34,0.464022,0.370746,0.40398,0.559245,0.381229,0.4401,0.0715702,0.0108608,0.709902,0.396964,0.760318,0.549013,0.703077,0.703173,0.647802,0.534703,0.605322,1.29635,0.126398,0.430821
CL40,0.458048,0.349152,0.591291,0.26621,0.356848,0.666414,0.408351,0.328233,0.701936,0.399432,1.06998,0.633977,0.846362,0.912645,0.862704,0.643147,0.676451,0.880325,0.103736,0.198172
CMK,0.406317,0.348337,0.245134,0.572631,0.341771,0.280244,0.037723,0.0223513,1.07184,0.386347,0.790029,0.579407,0.874409,0.895087,0.707554,0.707503,0.632894,1.23383,0.115576,0.423358
CMLT1,0.412894,0.438486,0.25711,0.571065,0.128866,0.260915,0.0328021,0.480289,0.780406,0.379842,0.517556,0.577528,0.817206,0.722943,0.712644,0.970589,0.640658,1.16116,0.0799462,0.432832
COLO320,0.415558,0.333185,0.313022,0.740797,0.123709,0.275828,0.497166,0.00569599,0.49988,0.388149,0.793573,0.564627,0.757886,0.782202,0.708221,0.797491,0.630044,1.15663,0.132536,0.376697
COLO668,0.528887,0.384034,0.568549,0.576105,0.351929,0.0774779,0.0581536,0.520854,0.659626,0.383931,0.480067,0.4788,0.44076,0.385213,0.41454,0.614932,0.611174,1.18049,0.129598,0.415936
COLO678,0.480211,0.420271,0.454668,0.653628,0.482202,0.486532,0.651106,0.0681368,0.377765,0.479308,0.777125,0.521403,0.517794,0.547627,0.596307,0.487344,0.520731,0.972736,0.104951,0.326173
COLO679,0.443926,0.405338,0.309116,0.572276,0.404572,0.501518,0.0556717,0.151787,0.77999,0.56446,0.742196,0.561327,0.72862,0.722102,0.713212,0.586968,0.435221,1.04568,0.122053,0.419669
COLO680N,0.484391,0.265019,0.480715,1.07501,0.385948,0.307507,0.602389,0.00580389,0.38361,0.375389,0.808607,0.511395,0.294017,0.482046,0.539243,0.631328,0.616263,1.38668,0.0967777,0.317935
COLO684,0.470755,0.424968,0.408967,0.57124,0.21226,0.333714,0.00836071,0.585567,0.877944,0.477178,0.420794,0.528168,0.611272,0.58645,0.606017,0.851344,0.522608,1.20286,0.124561,0.430612
COLO741,0.559937,0.431551,0.653177,0.641108,0.459244,0.434468,0.232791,0.15868,0.71544,0.557541,0.728021,0.437444,0.284784,0.0554057,0.330871,0.52312,0.437749,1.10861,0.103011,0.319621
COLO783,0.515211,0.442237,0.546596,0.565491,0.482935,0.49767,0.601967,0.0821808,0.408372,0.479357,0.76583,0.485675,0.460808,0.457824,0.469878,0.496106,0.520898,1.09816,0.105503,0.428607
COLO792,0.525031,0.413977,0.572204,0.571035,0.457965,0.447233,0.057241,0.021803,0.760377,0.485333,0.770649,0.472664,0.320005,0.318546,0.446033,0.509711,0.514724,1.31321,0.109689,0.421114
COLO800,0.467011,0.359008,0.441819,0.705009,0.482529,0.627683,0.739255,1e-06,0.270997,0.370321,238.222,0.533388,0.734685,0.667977,0.612305,0.507192,0.645438,1.16351,0.15518,0.348143
COLO829,0.430851,0.370005,0.310151,0.728921,0.468241,0.60813,0.439153,0.00388008,0.539146,0.594988,0.810868,0.561741,0.703398,0.69826,0.718865,0.524316,0.394091,1.1637,0.145969,0.356165
CORL105,0.438454,0.332485,0.346631,0.578698,0.404404,0.627905,0.0100711,0.264854,0.70503,0.369174,0.677021,0.567038,0.792125,0.779184,0.699163,0.558788,0.647801,1.36431,0.127335,0.428945
CORL23,0.446133,0.33952,0.394631,0.70461,0.450303,0.608037,0.405969,0.00559438,0.564619,0.388134,0.779417,0.557411,0.886499,0.772759,0.658144,0.539438,0.624374,1.10052,0.172127,0.352556
CORL24,0.414668,0.347509,0.265941,0.584111,0.0173048,0.34814,0.501544,0.00570455,0.489499,0.405822,0.794766,0.572197,0.815427,0.752132,0.736166,0.887649,0.603068,1.21615,0.1262,0.422769
CORL279,0.365475,0.561217,0.449443,0.802347,0.184263,1e-06,0.0283593,0.657048,0.805785,0.365208,0.37189,0.522958,0.410435,0.534192,0.5107,0.830753,0.609387,1.1637,0.0858274,0.400751
CORL311,0.343225,0.520866,0.353448,0.591337,0.0693901,1.01537e-06,0.477496,0.43203,0.509684,0.377739,0.56435,0.574871,0.98752,0.755798,0.701523,0.791422,0.619675,0.894368,0.0924124,0.442178
CORL47,0.453487,0.351401,0.402081,0.741803,0.0699366,0.191812,0.0112894,0.637762,0.790322,0.40845,0.369835,0.544062,0.688095,0.643004,0.629371,0.850179,0.601687,1.23622,0.107661,0.356898
CORL88,0.37892,0.29363,0.228917,0.72145,0.0905047,0.389054,0.0340306,0.274744,0.966924,0.370574,0.667056,0.622438,0.966105,0.934814,0.841752,0.828837,0.647183,1.02638,0.126847,0.362536
CORL95,0.419557,0.341116,0.27148,0.563492,0.206921,0.300256,0.086872,0.205588,1.15399,0.348011,0.714699,0.576986,0.753246,0.738798,0.745427,0.910172,0.68521,1.32357,0.094635,0.439989
COV318,0.336887,0.310688,0.0552673,0.568883,0.259534,0.269361,0.133326,0.011261,0.747241,0.472115,0.792203,0.679737,1.03667,0.93788,1.23956,0.726892,0.528748,0.981575,0.115381,0.428174
COV362,0.458833,0.260047,0.41297,0.556014,0.351746,0.425755,0.292861,0.214636,0.311603,0.368842,1.04338,0.583176,1.30901,1.35529,0.68496,0.533629,0.72484,1.19296,0.115615,0.423074
COV434,0.412773,0.294946,0.342979,0.572802,0.114354,0.0160038,0.0290021,0.071718,0.689997,0.379225,0.813485,0.493813,0.477678,0.457552,0.456106,0.648037,0.63205,1.08044,0.112285,0.415716
COV504,0.36333,0.251331,0.248421,0.74796,0.509029,0.787369,0.66573,0.0920635,0.402567,0.469512,0.775503,0.635181,0.801435,0.832801,0.824523,0.499419,0.526452,1.22111,0.136785,0.37398
COV644,0.388683,0.308104,0.205531,0.566891,0.209341,0.436531,0.526055,0.0200064,0.48486,0.370805,0.852674,0.637827,0.910366,1.33104,0.886017,0.823568,0.649441,1.32578,0.128721,0.421559
CW2,0.473258,0.374048,0.434173,0.575092,0.384792,0.445242,0.426678,1e-06,0.561031,0.371251,360.897,0.523512,0.593184,0.604023,0.576994,0.552105,0.654022,1.35995,0.110645,0.422777
D283MED,0.454502,0.334967,0.40019,0.578161,0.250209,0.393822,0.574424,0.445749,0.426837,0.246037,0.541122,0.547663,0.975595,0.749337,0.644662,0.777724,0.795376,0.996145,0.102345,0.418725
DANG,0.449853,0.386142,0.365931,0.560675,0.438815,0.559822,0.576275,0.0132621,0.429047,0.386047,0.788809,0.54712,0.626244,0.735952,0.661989,0.5429,0.62595,1.11667,0.165401,0.437402
DAOY,0.432526,0.381462,0.271445,0.576755,0.458926,0.5741,0.452371,0.198221,0.522615,0.550239,0.713646,0.560988,0.665012,0.788762,0.753731,0.560056,0.450093,1.13347,0.135534,0.43583
DAUDI,0.429344,0.344084,0.370102,0.570191,0.0769801,0.0558036,0.0104976,0.00576758,0.734894,0.387279,0.803547,0.552583,0.669841,0.665261,0.613694,0.695725,0.618002,1.04819,0.123493,0.416899
DB,0.482322,0.58381,0.376904,0.409373,0.0600122,0.0576731,0.00336078,0.00378324,0.702342,0.461534,0.790631,0.485517,0.430871,0.428846,0.416878,0.69031,0.539406,0.959788,0.0938731,0.60016
DBTRG05MG,0.45405,0.392249,0.363943,0.590887,0.451652,0.659582,0.611365,0.139836,0.43701,0.47968,0.741708,0.537739,0.640107,0.642952,0.665798,0.503893,0.51718,1.11003,0.143675,0.436412
DEL,0.430813,0.349804,0.331814,0.592198,0.578058,0.752858,0.0463349,0.610425,1.31653,0.337668,0.396956,0.563934,0.732019,0.729159,1.04042,0.612907,0.598561,1.25073,0.130132,0.443697
DETROIT562,0.401334,0.300992,0.253672,0.567824,0.404455,0.28017,0.512706,0.144412,0.486208,0.39318,0.74632,0.609279,0.99014,0.966508,0.750194,0.592281,0.611826,0.908937,0.193969,0.427235
DKMG,0.436139,0.370586,0.314408,0.585286,0.40811,0.567099,0.252323,0.389834,0.638168,0.498511,0.591196,0.555954,0.68586,0.748884,0.728828,0.662902,0.498154,1.31082,0.122941,0.436731
DMS114,0.392429,0.245286,0.265106,0.572382,0.223853,1e-06,0.286774,0.345402,0.857286,0.390055,0.625537,0.57876,0.868221,0.822111,0.677614,0.778203,0.606548,0.958795,0.183095,0.429801
DMS153,0.418935,0.348916,0.282833,0.560475,0.0732378,0.380446,0.349869,0.564217,0.608172,0.388177,0.443655,0.581632,0.891278,0.866176,0.752435,0.837349,0.625218,1.15487,0.127552,0.436509
DMS273,0.492723,0.296827,0.534622,0.827345,0.155243,3.13478e-06,0.346567,0.517501,0.612888,0.478016,0.483493,0.479849,0.42831,0.408301,0.414636,0.683637,0.519766,1.11542,0.143794,0.412939
DMS454,0.323231,0.562405,0.298921,0.704185,0.214591,1e-06,0.0130387,0.345328,0.691299,0.48538,0.609245,0.481523,0.433955,0.430233,0.417455,0.786096,0.507884,1.092,0.116692,0.342137
DMS53,0.477408,0.459013,0.413214,0.409132,0.441762,0.494299,0.0136704,0.51905,0.957006,0.46561,0.509441,0.556951,1.02265,1.68782,0.541163,0.745886,0.54468,1.08354,0.0549297,0.63863
DMS79,0.433556,0.365348,0.332241,0.576542,0.0821651,0.373981,0.625108,0.605558,0.385108,0.402418,0.406661,0.573191,0.85935,0.859414,0.731585,0.893306,0.599393,1.1462,0.108494,0.425714
DND41,0.404336,0.335666,0.239942,0.565052,0.186452,0.401735,0.111399,1e-06,0.810157,0.395396,341.082,0.592411,0.863053,0.879799,0.794069,0.786114,0.617339,1.23716,0.122877,0.432043
DOHH2,0.5697,0.304443,0.416155,0.581685,0.150532,0.0348316,0.0411747,0.0110296,0.662355,0.474602,0.775923,0.461093,0.371909,0.326825,0.337945,0.637409,0.520348,1.13804,0.12109,0.445664
DU4475,0.498506,0.43433,0.503598,0.664899,0.337746,0.120515,0.831153,0.362711,0.271786,0.47967,0.616319,0.508687,0.547128,0.52383,0.526376,0.649796,0.520443,1.15861,0.101528,0.324897
DV90,0.461401,0.387486,0.400579,0.568151,0.382642,0.428212,0.0276163,0.0168015,0.784672,0.398121,0.787985,0.539252,0.652811,0.653621,0.621129,0.593805,0.613355,1.18367,0.134714,0.425342
EB1,0.490608,0.358962,0.499852,0.566522,0.0576741,0.0424879,0.00929367,0.00556943,0.650609,0.401316,0.775941,0.482409,0.417755,0.395933,0.422497,0.597207,0.591226,1.15686,0.133539,0.42919
EBC1,0.4326,0.36134,0.320743,0.579904,0.438037,0.598168,0.485284,0.00188769,0.50116,0.343893,0.788987,0.56574,0.633797,0.844178,0.701576,0.533777,0.678033,1.12379,0.168271,0.433198
ECC10,0.372953,0.347441,0.122724,0.600129,0.0951376,0.419248,0.0328155,0.0115064,0.672375,0.465636,0.809466,0.643323,0.907318,1.02732,0.923508,0.830969,0.536323,1.14436,0.143759,0.447374
ECC12,0.536309,0.394379,0.568083,0.756086,0.122141,0.0321578,0.172732,0.705461,0.656691,0.397558,0.343204,0.460055,0.306999,0.339313,0.368621,0.663478,0.601119,1.32638,0.107895,0.381074
ECGI10,0.481638,0.358431,0.455865,0.769543,0.427981,0.542286,0.566345,0.330671,0.389399,0.390469,0.606261,0.527237,0.627928,0.603709,0.617984,0.487778,0.593514,1.22196,0.130053,0.372236
EFE184,0.440311,0.378327,0.339858,0.569057,0.439238,0.579684,0.313645,0.113768,0.654202,0.370732,0.761861,0.564187,0.860929,0.751029,0.71358,0.545976,0.622944,1.02279,0.140563,0.427607
EFM19,0.426686,0.656583,0.472315,0.75929,0.0920908,1e-06,0.561868,0.0428964,0.452972,0.176928,0.758108,0.469648,0.740801,0.427719,0.483906,0.729895,0.64366,1.1419,0.0401133,0.365512
EFM192A,0.528939,0.422089,0.564927,0.571977,0.296382,0.143045,0.469901,0.0228274,0.52289,0.353899,0.806857,0.475299,0.376091,0.449812,0.35614,0.70823,0.635241,1.76787,0.0668132,0.419025
EFO21,0.483578,0.326272,0.472111,0.651949,0.4297,0.402117,0.226907,0.00575388,0.706529,0.249486,0.801639,0.516584,0.584748,0.570334,0.541827,0.572633,0.756702,0.902914,0.177547,0.31728
EFO27,0.457296,0.399459,0.391664,0.578336,0.503155,0.645524,0.559417,1e-06,0.443086,0.390548,264.743,0.544485,0.765478,0.676413,0.654547,0.49291,0.604741,0.980748,0.181191,0.422128
EHEB,0.474869,0.414776,0.429322,0.564606,0.373846,0.328496,0.00562658,0.182096,0.783903,0.372458,0.719903,0.525139,0.585955,0.563953,0.572612,0.639743,0.651054,1.23737,0.107466,0.429267
EJM,0.54822,0.436747,0.678589,0.569029,0.109509,1e-06,0.576542,0.345057,0.421933,0.474181,0.641557,0.43538,0.196414,0.117699,0.318109,0.820219,0.528502,1.07301,0.136306,0.421424
EM2,0.436547,0.365993,0.328014,0.570042,0.293339,0.437966,0.0169965,0.52352,0.79713,0.366055,0.477622,0.569794,0.837678,0.821351,0.730714,0.683039,0.645238,1.13411,0.10613,0.426725
EN,0.415609,0.433203,0.405848,0.315197,0.309581,0.65271,0.621154,0.172367,0.260941,1.20956,0.0111907,0.394928,0.101322,0.844202,0.783414,0.567363,0.567794,0.694979,0.773069,0.737232
EOL1,0.517529,0.421394,0.587438,0.599333,0.559004,0.575899,0.772973,0.033028,0.482714,0.408457,0.456074,0.627783,0.387659,0.394183,0.255156,0.117126,1.10175,0.615778,0.78578,0.427904
EPLC272H,0.517161,0.597907,0.00373706,0.00242678,0.582486,0.777934,0.567018,0.301286,0.323351,0.0790483,0.207012,0.892085,0.266809,97.857,0.519483,0.186408,0.480487,1e-06,0.2231,0.395035
ES2,0.577908,0.61765,0.99082,0.97993,0.701798,0.599879,0.535935,0.53733,0.433249,0.377566,0.298754,0.515179,0.479343,0.747929,0.516556,0.173645,1.0825,0.229439,0.495985,0.436979
ESS1,0.600692,0.686212,1.06764,1.06024,0.824111,0.698167,0.550541,0.524121,0.407861,0.304815,0.322857,0.610581,0.399808,0.800861,0.43867,0.178416,1.07969,0.01144,0.460162,0.342071
F36P,0.576303,0.392379,0.870611,0.887632,0.739323,0.567315,0.742006,0.0433767,0.429975,0.36672,0.319604,0.604905,0.405442,316.076,0.252404,0.151668,1.10698,1e-06,0.781341,0.42823
FADU,0.528101,0.104437,0.117552,0.401873,0.536211,0.655691,0.600103,0.645689,0.459419,0.148273,0.412284,0.607138,0.396288,0.768433,0.401799,0.127932,0.96393,0.105662,0.332855,0.314685
FTC133,0.521692,0.630843,0.580082,0.653513,0.584823,0.58767,0.479779,0.0165011,0.499547,0.431293,0.504302,0.435007,0.556269,0.821121,0.322775,0.145716,1.25516,0.0200376,0.773894,0.424499
FTC238,0.556455,0.695485,0.134149,1e-06,0.743576,0.654061,0.574604,0.0589895,0.419068,0.303587,0.366174,0.677369,0.363992,0.496372,0.46316,0.127183,1.10322,0.475168,0.936174,0.314712
FU97,0.679074,0.191164,1.20158,0.8021,1.01968,0.639321,0.786859,0.0045784,0.325319,0.280951,0.16399,0.645263,0.370816,285.21,0.0441022,0.201727,0.795818,1e-06,0.801284,0.335102
FUOV1,0.472684,0.349943,0.392666,0.404372,0.438854,0.561514,0.659465,0.32214,0.527997,0.463779,0.574534,0.615639,0.401715,0.594776,0.356337,0.0747591,1.58692,0.389679,0.639677,0.432314
G292CLONEA141B1,0.53604,0.492286,0.743219,0.72327,0.589499,0.580171,0.571704,0.677813,0.46561,0.379446,0.413622,0.618492,0.390017,0.711412,0.442228,0.164746,1.02664,0.197707,0.345545,0.42385
G361,0.568914,0.592558,1e-06,0.949068,0.57525,0.503947,0.718516,0.55214,0.382912,0.312042,0.189404,0.425804,0.543067,1.03429,0.544638,0.142711,0.534164,0.136027,0.316478,0.365418
G401,0.516132,0.35276,0.530243,0.535124,0.544694,0.569796,0.600905,0.042966,0.483683,0.426074,0.452504,0.629933,0.386651,269.915,0.402025,0.107381,1.20118,1e-06,0.773944,0.423136
G402,0.418424,0.32694,0.276526,0.27589,0.266491,0.577328,0.552609,0.0111848,0.573637,0.485092,0.664493,0.620238,0.389124,0.784584,0.447977,0.104647,1.22135,0.00563146,0.783001,0.414669
GA10,0.255339,3.06843e-05,0.288259,0.00236704,0.000144299,0.5621,0.855548,0.0113093,0.581513,0.535029,0.671631,0.606457,0.390594,167.476,0.241918,0.135358,1.17185,1e-06,0.791716,0.432168
GAMG,0.549715,0.739393,0.733996,0.721667,0.690755,0.603936,0.48766,0.599193,0.462345,0.395264,0.387668,0.509243,0.489259,0.749114,0.49639,0.138672,1.14898,0.0861053,0.384627,0.448594
GB1,0.512201,0.652851,4.75028e-05,0.486828,0.593358,0.341714,0.656202,0.621889,0.422403,0.347925,0.3475,0.658437,0.389312,158.149,0.521669,0.109971,0.957044,1e-06,0.347639,0.251523
GCT,0.550034,0.717895,0.808902,0.761529,0.662459,0.567466,0.467511,0.647217,0.452737,0.367339,0.382462,0.615013,0.394256,0.766404,0.495972,0.15504,1.14732,0.0867985,0.373048,0.431653
GDM1,0.511182,0.330838,0.56448,0.517821,0.538844,0.562884,0.629934,0.0109829,0.488703,0.417868,0.470472,0.628403,0.391146,0.482092,0.371206,0.0949942,1.03966,0.518384,0.768866,0.430736
GI1,0.56841,0.728981,0.790485,0.783604,0.764665,0.589729,0.452456,0.0259216,0.434553,0.368175,0.307914,0.519183,0.477023,0.760639,0.297175,0.13906,1.16823,0.107056,0.796681,0.431662
GMS10,0.5261,0.532854,0.717905,0.602886,0.579445,0.575498,0.552535,0.558293,0.474924,0.307442,0.452349,0.791605,0.255192,0.649541,0.446986,0.121583,1.08814,0.260166,0.445168,0.434518
GOS3,0.497579,0.383165,0.46061,0.444765,0.506472,0.567508,0.591433,0.659238,0.501963,0.433925,0.505948,0.502702,0.49675,0.692074,0.426241,0.106511,1.34586,0.232351,0.372214,0.425053
GRANTA519,0.58333,0.241442,0.676125,0.68144,0.763884,0.573409,0.791477,0.0272298,0.421263,0.405878,0.273825,0.619313,0.390284,0.778446,0.208676,0.0855935,1.38735,0.0111198,0.773691,0.421942
GSS,0.23998,0.193061,0.000174969,0.105505,0.000259191,0.581015,0.609519,0.245233,0.618426,0.582084,0.7621,0.616296,0.393396,0.715248,0.396288,0.0422877,1.20381,0.198773,0.692337,0.42631
GSU,0.549776,0.515771,0.690726,0.748822,0.653164,0.812002,0.568025,0.00560218,0.455503,0.32782,0.411951,0.536312,0.463432,0.831393,0.360956,0.140151,1.33239,0.00397829,0.780503,0.306286
H4,0.510138,0.507783,0.554382,0.543177,0.536521,0.691524,0.596591,0.593908,0.489523,0.380455,0.474751,0.630649,0.380653,0.68001,0.421134,0.156313,1.06719,0.245642,0.413892,0.337406
HARA,0.590165,0.54913,0.732959,0.753014,0.717821,0.677985,0.503566,0.563855,0.417865,0.264651,0.357147,0.610348,0.381977,0.48121,0.492214,0.18412,0.876163,0.518995,0.439969,0.321816
HCC1143,0.55351,0.573985,0.964314,0.774766,0.654795,0.690661,0.570671,0.742296,0.449842,0.278056,0.417643,0.799213,0.23431,0.767678,0.455326,0.14129,0.987797,0.135359,0.280494,0.349862
HCC1187,0.555887,0.149595,0.736611,0.784014,0.662516,0.571905,0.728217,0.949315,0.448266,0.397258,0.34273,0.527603,0.473335,0.738959,0.225871,0.138936,1.08178,0.15574,0.188917,0.426845
HCC1195,0.52694,0.616215,1.00972e-06,0.772588,0.652524,0.434056,0.698164,0.536188,0.42417,0.371296,0.295759,0.512588,0.47367,0.901035,0.327017,0.120551,0.982668,0.0373414,0.258066,0.316035
HCC1395,0.530437,0.486575,0.604553,0.659437,0.607519,0.570326,0.547936,0.641169,0.470587,0.416827,0.398658,0.491846,0.507554,0.797202,0.44812,0.163034,1.11769,0.0134032,0.37384,0.426532
HCC1419,0.388206,2.39833e-06,3.89244e-05,0.327256,0.168493,0.589515,0.744251,0.418513,0.542941,0.478787,0.597723,0.627406,0.371278,372.695,0.350146,0.0905637,1.45032,1e-06,0.558133,0.445408
HCC1428,0.515821,0.000127434,0.40038,0.428164,0.463306,0.667168,0.715992,0.533119,0.440787,0.322319,0.430609,0.622264,0.387406,0.787533,0.100677,0.133786,1.01583,0.0167919,0.466473,0.333408
HCC15,0.58443,0.550111,0.90214,1.03054,0.709132,0.36972,0.616246,0.859762,0.436022,0.370763,0.252996,0.615759,0.391636,0.745034,0.45564,0.122739,1.39948,0.0313154,0.245859,0.556318
HCC1500,0.531503,0.222852,0.668361,0.596503,0.625772,0.578863,0.83814,0.736914,0.469715,0.426338,0.422925,0.624485,0.390982,0.72371,0.133002,0.0994131,1.17287,0.186723,0.302597,0.425034
HCC1569,0.529212,0.133209,0.631791,0.61978,0.595446,0.650505,0.667759,0.667326,0.471727,0.450932,0.43415,0.508147,0.491875,0.761939,0.330285,0.122283,0.838935,0.107239,0.347569,0.316822
HCC1599,0.565337,0.256163,0.613395,0.628665,0.582302,0.695562,0.752411,0.737132,0.439008,0.240652,0.401542,0.628671,0.387035,0.628502,0.213353,0.15048,1.04761,0.349143,0.310507,0.344869
HCC1806,0.598192,0.210744,0.953546,0.861126,0.770214,0.68613,0.638746,0.477319,0.413928,0.281696,0.326635,0.617454,0.393234,0.701725,0.361029,0.155946,0.908097,0.231543,0.521003,0.34291
HCC1937,0.538104,0.551446,0.590229,0.617718,0.638819,0.825733,0.580265,0.582635,0.46159,0.313667,0.437776,0.618076,0.394227,0.783214,0.413678,0.147918,1.20726,0.00562163,0.421704,0.300777
HCC202,0.654102,0.20131,0.857441,0.859787,0.871826,0.713522,0.74963,0.702176,0.377849,0.293441,0.265593,0.479205,0.520193,0.693934,0.214307,0.0923229,1.41842,0.235268,0.332576,0.355
HCC2157,0.497018,0.0606772,0.435915,0.470464,0.451124,0.569267,0.689186,0.648721,0.503831,0.413899,0.514369,0.616044,0.374444,0.772263,0.289938,0.114773,1.21194,0.0376906,0.335673,0.424253
HCC2218,0.547463,1e-06,0.566517,0.666785,0.566126,0.408031,0.955722,0.617107,0.462858,0.440726,0.324454,0.599854,0.403947,0.790028,0.137089,0.125595,1.2078,0.00378036,0.399407,0.599951
HCC2935,0.54705,0.46621,0.726111,0.699756,0.686485,0.574062,0.638551,0.638,0.442853,0.39069,0.321812,0.540937,0.45539,0.827974,0.337702,0.113345,1.23839,0.0194268,0.367409,0.416704
HCC33,0.72543,0.232316,1.32762,1.20584,1.18948,0.69852,0.901288,0.0183004,0.349782,0.263689,0.212128,0.523562,0.476954,0.59474,0.0723769,0.09908,1.33879,0.39506,0.779966,0.34677
