,CNV_MIR335,CNV_JUND,CNV_FOXP2,CNV_TFAP2C,CNV_FOSL1,CNV_MIR16-2,CNV_PLAUR,MIR335,JUND,FOXP2,TFAP2C,FOSL1,MIR16-2,PLAUR,T0_MIR335,T0_JUND,T0_FOXP2,T0_TFAP2C,T0_FOSL1,T0_MIR16-2,T0_PLAUR
ML1,1.29002587219519,1,2,2,1,1.08741301451606,2,5.894575,5.72383156649532,1.03562390973072,0.879705766282288,5.04176864995163,6.0827875,6.25701061820602,5.894575,5.72383156649532,1.03562390973072,0.879705766282288,5.04176864995163,6.0827875,6.25701061820602
SUPB15,0.995435676935972,2,2,2,2,0.509163179994488,2,6.290019,4.88166461932035,0,0.111031312388744,1,6.1862626,4.19455988602261,6.290019,4.88166461932035,0,0.111031312388744,1,6.1862626,4.19455988602261
PANC1005,1.14734558322867,2,2,2,2,1.20246924889818,2,5.819157,5.09718938723511,0.505890929729957,2.90303827011291,9.12709154838302,7.1708264,6.30597052098439,5.819157,5.09718938723511,0.505890929729957,2.90303827011291,9.12709154838302,7.1708264,6.30597052098439
HH,1.00989128855289,2,2,2,2,1.55940968522265,2,6.0872507,6.31614574229336,3.14567745519564,0.0143552929770701,0.903038270112912,6.0221457,1.60407132366886,6.0872507,6.31614574229336,3.14567745519564,0.0143552929770701,0.903038270112912,6.0221457,1.60407132366886
RERFLCMS,1.20130293145304,2,3,2,2,0.979827711751162,2,6.0232553,6.2309330930394,1.34482849699744,3.63343121035563,5.50462039240355,6.0232553,6.19179950106508,6.0232553,6.2309330930394,1.34482849699744,3.63343121035563,5.50462039240355,6.0232553,6.19179950106508
HS616T,1.009611326046,2,2,2,2,0.997507780897529,2,7.0739274,6.42408228666134,0.124328135002202,0.124328135002202,6.12287974975524,7.3453608,5.94485844580754,7.0739274,6.42408228666134,0.124328135002202,0.124328135002202,6.12287974975524,7.3453608,5.94485844580754
OCIAML5,0.946910515271733,3,2,2,2,0.993574463838117,2,6.1572456,6.30706416225537,3.36036427654347,0.070389327891398,3.14567745519564,6.4867144,5.16711703022744,6.1572456,6.30706416225537,3.36036427654347,0.070389327891398,3.14567745519564,6.4867144,5.16711703022744
HCC4006,0.859458568978913,2,3,5,2,1.24108334245126,5,7.2273755,5.5981269599196,0.22650852980868,4.57228336665041,5.22032995487955,7.7163734,7.35279382940117,7.2273755,5.5981269599196,0.22650852980868,4.57228336665041,5.22032995487955,7.7163734,7.35279382940117
HS683,1.54274540758135,2,3,2,2,1.3065841103191,2,5.8349133,5.71699089440494,0.0840642647884745,4.54349588342577,8.02103547951136,5.8349133,6.72900887033786,5.8349133,5.71699089440494,0.0840642647884745,4.54349588342577,8.02103547951136,5.8349133,6.72900887033786
REC1,1.19267420062258,2,2,2,2,1.18550356397892,2,5.793636,7.19179950106508,1.60880924267552,0.0565835283663675,2.58496250072116,6.0336432,0.545968369105293,5.793636,7.19179950106508,1.60880924267552,0.0565835283663675,2.58496250072116,6.0336432,0.545968369105293
697,0.990342871933025,2,2,2,2,0.978809493950234,2,8.028293,4.94438996227009,0.0565835283663675,0.0285691521967709,0.650764559116902,7.7488637,4.91504279137198,8.028293,4.94438996227009,0.0565835283663675,0.0285691521967709,0.650764559116902,7.7488637,4.91504279137198
HS706T,1.00208160507963,2,2,2,2,1.01459221796997,2,6.943921,6.24982454861618,0.0840642647884745,0.111031312388744,6.26341005875634,8.618129,6.6442889333787,6.943921,6.24982454861618,0.0840642647884745,0.111031312388744,6.26341005875634,8.618129,6.6442889333787
MEG01,0.935753211780196,3,2,2,2,0.963796187956976,3,6.0596147,7.63284983011771,1.25701061820602,0,4.76765479823735,7.158862,3.61235249875266,6.0596147,7.63284983011771,1.25701061820602,0,4.76765479823735,7.158862,3.61235249875266
GRANTA519,1.08244971021378,1,2,2,2,1.04102159768411,2,6.3930044,4.53231695933277,0.0285691521967709,0.070389327891398,1.10433665981474,7.7391057,1.89917563048051,6.3930044,4.53231695933277,0.0285691521967709,0.070389327891398,1.10433665981474,7.7391057,1.89917563048051
KU812,0.817108746429272,2,1,1,2,0.829722031803731,2,6.030998,6.56985560833095,0.0143552929770701,0.0143552929770701,4.4276061727819,6.9354596,3.64961545906341,6.030998,6.56985560833095,0.0143552929770701,0.0143552929770701,4.4276061727819,6.9354596,3.64961545906341
U87MG,1.53102729151019,2,2,3,2,1.09255052598294,2,6.6092525,5.53977919169849,1.02147972741045,1.51601514700366,8.77185257358438,6.2057443,7.89965902637744,6.6092525,5.53977919169849,1.02147972741045,1.51601514700366,8.77185257358438,6.2057443,7.89965902637744
NCO2,0.888226795842405,2,1,1,1,0.920315224562546,2,5.946731,7.39085681367356,2.01792190799726,0.0565835283663675,3.68144926531496,6.142822,4.11103131238874,5.946731,7.39085681367356,2.01792190799726,0.0565835283663675,3.68144926531496,6.142822,4.11103131238874
