LINE,ks_PLAUR,ka_JUND,ka_FOXP2,ka_TFAP2C,ka_FOSL1,ks_TFAP2C,kd_PLAUR,kr_MIR335,kr_MIR16-2,ks_FOXP2,kd_JUND,kd_MIR335,kd_TFAP2C,kd_MIR16-2,kd_FOSL1,kd_FOXP2,ks_MIR335,ks_JUND,ks_FOSL1,ks_MIR16-2,MIR335,JUND,FOXP2,TFAP2C,FOSL1,PLAUR
BEN,0.518412,0.266081,0.543101,0.50001,0.550076,0.0146334,0.481591,0.456611,0.461546,0.292488,0.0664478,0.401047,0.775846,0.57866,0.613254,0.65911,0.614884,1.25397,0.403294,0.411683,6.13278,4.96578,0.887525,0.0565835,3.05311,2.84577
BFTC905,0.565818,0.41461,6.6179e-06,0.762014,0.544721,0.533086,0.352189,0.175022,0.232801,0.00561709,0.127371,0.336682,0.272963,0.753895,0.704796,0.782581,0.52878,0.819321,0.373448,0.371083,6.28225,6.12763,0.0143553,3.90593,7.50414,2.95332
BFTC909,0.58031,0.675267,0.850351,0.876185,0.780551,0.478458,0.433858,0.341624,0.352058,0.179579,0.13897,0.452981,0.519421,0.715604,0.501535,0.696048,0.514912,1.0694,0.473741,0.359255,6.82031,4.62176,0.773996,2.76341,7.78509,3.01218
BHT101,0.541545,0.436062,0.680195,0.748316,0.620095,0.337682,0.460363,0.38011,0.382231,0.471186,0.134213,0.470672,0.619116,0.58084,0.61398,0.526501,0.530994,1.42155,0.373359,0.420363,6.76898,5.92884,2.68482,1.09085,6.54071,2.89486
BHY,0.571949,0.509111,1.04506,0.788346,0.710148,0.515537,0.434159,0.365294,0.337205,0.0113196,0.158054,0.389783,0.488354,0.569942,0.603622,0.792434,0.61727,1.1414,0.395528,0.421216,6.3345,4.35826,0.0285692,4.22265,6.32751,2.95621
BICR16,0.569193,0.468698,0.955604,0.820826,0.69561,0.527985,0.436463,0.340896,0.373128,0.0275301,0.165579,0.384904,0.475993,0.695608,0.595641,0.782223,0.623756,1.11296,0.39573,0.345135,6.4822,4.18824,0.0703893,3.32769,5.90569,2.97698
BICR22,0.552092,0.371363,0.414625,0.479214,0.631668,0.530592,0.432076,0.165516,0.390839,1e-06,0.190112,0.387152,0.464633,0.790519,0.667248,217.288,0.588059,0.980699,0.339748,0.192993,6.07575,5.14405,9.20436e-09,2.28392,4.44559,2.92961
BICR31,0.526782,0.334914,0.644311,0.609806,0.576377,0.595237,0.473821,0.358715,0.447904,0.337711,0.115636,0.392242,0.414076,0.680186,0.624019,0.626991,0.617236,1.19956,0.367158,0.335047,6.29444,6.36824,1.07724,4.31252,5.52982,2.95549
BICR56,0.560127,0.467213,0.861139,0.7792,0.713359,0.464842,0.444468,0.349611,0.387267,0.140075,0.118334,0.388285,0.530721,0.672995,0.593591,0.740138,0.606641,0.964217,0.389715,0.333733,6.24945,5.11686,0.378512,2.62761,4.4522,2.97535
BICR6,0.562803,0.503431,0.857596,0.777811,0.72037,0.398397,0.442367,0.354821,0.390306,0.0114345,0.165462,0.386647,0.587137,0.675685,0.587463,0.800479,0.6191,1.07582,0.392113,0.34767,6.4048,3.97361,0.0285692,2.03562,4.0054,3.08726
