time, species_1, species_2, species_3
7.8, 4.59737e-11, 3.57531e-11, 1.82726e-11
7.9, 4.55735e-11, 3.5778e-11, 1.86479e-11
8, 4.50803e-11, 3.5959e-11, 1.896e-11
8.1, 4.46453e-11, 3.60752e-11, 1.92789e-11
8.2, 4.42069e-11, 3.61566e-11, 1.96359e-11
8.3, 4.37203e-11, 3.62562e-11, 2.00228e-11
8.4, 4.32803e-11, 3.6306e-11, 2.0413e-11
8.5, 4.28137e-11, 3.63841e-11, 2.08016e-11
8.6, 4.24019e-11, 3.64405e-11, 2.11569e-11
8.7, 4.20083e-11, 3.65003e-11, 2.14907e-11
8.8, 4.16031e-11, 3.65784e-11, 2.18178e-11
8.9, 4.11598e-11, 3.66564e-11, 2.21831e-11
9, 4.07613e-11, 3.66963e-11, 2.25418e-11
9.1, 4.03743e-11, 3.67029e-11, 2.29221e-11
9.2, 3.99791e-11, 3.6673e-11, 2.33472e-11
9.3, 3.96188e-11, 3.66813e-11, 2.36992e-11
9.4, 3.92086e-11, 3.66979e-11, 2.40928e-11
9.5, 3.88151e-11, 3.66879e-11, 2.44963e-11
9.6, 3.84e-11, 3.67162e-11, 2.48832e-11
9.7, 3.8023e-11, 3.6756e-11, 2.52203e-11
9.8, 3.76909e-11, 3.67095e-11, 2.55989e-11
9.9, 3.73206e-11, 3.67112e-11, 2.59675e-11
10, 3.69752e-11, 3.66913e-11, 2.63328e-11

0, 9.99993e-11, 0, 0
0.1, 9.89847e-11, 1.01293e-12, 1.66054e-15
0.2, 9.80565e-11, 1.92124e-12, 2.1587e-14
0.3, 9.70253e-11, 2.93085e-12, 4.3174e-14
0.4, 9.60672e-11, 3.86075e-12, 7.14032e-14
0.5, 9.51389e-11, 4.73254e-12, 1.27862e-13
0.6, 9.42173e-11, 5.60266e-12, 1.79338e-13
0.7, 9.32094e-11, 6.55415e-12, 2.35797e-13
0.8, 9.21948e-11, 7.48903e-12, 3.15502e-13
0.9, 9.13114e-11, 8.28277e-12, 4.05172e-13
1, 9.03533e-11, 9.14127e-12, 5.04804e-13
1.1, 8.94034e-11, 9.99811e-12, 5.97794e-13
1.2, 8.85117e-11, 1.07952e-11, 6.92445e-13
1.3, 8.76565e-11, 1.15341e-11, 8.08683e-13
1.4, 8.68429e-11, 1.22232e-11, 9.33223e-13
1.5, 8.59727e-11, 1.29738e-11, 1.05278e-12
1.6, 8.51591e-11, 1.36745e-11, 1.1657e-12
1.7, 8.4186e-11, 1.44982e-11, 1.31515e-12
1.8, 8.33856e-11, 1.51607e-11, 1.45297e-12
